"cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
7,2,127,17.5,9.2,6,1.8,101740,0
5,6.6,205,14,12,6.4,0,101670,0
6,0.3,87,12.5,11.4,8.7,0,101390,0
7,0.7,100,16.2,10.4,8.3,0,101400,0
3,11.8,278,12.3,10.4,4.5,0,101490,0
5,4.9,183,13.4,8.7,5.1,0,101330,0
4,5.9,199,11.1,8.2,2.9,0,100730,0
6,0,74,11.6,7.2,3.2,0,100620,0
5,2.2,137,13.6,8,4.4,0,101250,0
2,10.5,267,19.3,7,0.5,0,102560,0
1,13,299,21.1,11.1,2.9,0,102840,0
1,14.1,314,26.2,14.4,7.7,0,102240,0
2,13.5,307,23.6,18.3,10.4,0,101550,0
1,13.9,313,20.9,17.8,12,0,101580,0
0,14,315,18.9,15.8,10.6,0,101940,0
0,14.2,314,21.1,14.3,9.7,0,102670,0
2,14.3,321,21.2,14.2,7.4,0,102700,0
4,11,280,22.5,13.8,6.4,0,102350,0
4,7.3,230,24.2,15.3,8.1,0,102060,0
2,12.7,304,12.6,16.5,8.8,1,102090,0
8,0,79,21.1,11.8,11.1,3.4,101430,0
6,7.8,239,15.9,15.6,10,0,101480,0
6,2.9,159,12.9,12.8,9.7,0,102140,0
6,3.1,163,14.1,10,7.2,0,102470,0
7,0.3,96,16.6,11.8,9.5,0,102250,0
7,0.7,109,18.7,12.9,9.2,0,101710,0
